Target,Average Shift,SD,SE,CV,run
p-c-Abl_ch1,324.74149775,23.38676461666496,11.69338230833248,7.201655710373394,XP-001d
p-c-Abl_ch2,211.05519225,31.43525200541036,15.71762600270518,14.894327720767247,XP-001d
hydroxy-HIF_ch2,188.77682299999998,12.077765901192217,6.038882950596109,6.397907173801849,XP-001d
p-PDK1_ch1,909.58002425,174.81142950981467,87.40571475490734,19.218916956092627,XP-001d
p-PDK1_ch2,460.24485674999994,111.29719552978005,55.64859776489003,24.182170402880896,XP-001d
p-GSK3b_ch1,1369.72358425,103.11032220608423,51.55516110304212,7.527819728864703,XP-001d
p-GSK3b_ch2,1295.3309092499999,59.9388898792207,29.96944493961035,4.627303297651214,XP-001d
p-p70S6K_ch1,593.22548425,27.71817319417898,13.85908659708949,4.672451526458335,XP-001d
p-p70S6K_ch2,265.32895925,9.539167711248885,4.769583855624442,3.5952229783786342,XP-001d
p-S6_235_ch1,791.46076025,83.09140335516065,41.545701677580325,10.498486789024692,XP-001d
p-S6_235_ch2,206.52884775,29.6631689402772,14.8315844701386,14.362724269969302,XP-001d
p-Rb_780_ch1,351.81523525,26.463097260194267,13.231548630097134,7.521873588387831,XP-001d
p-Rb_780_ch2,183.58996275,17.863650974188488,8.931825487094244,9.73018933421429,XP-001d
p-Akt_308_ch1,167.45901025000003,18.429704721922906,9.214852360961453,11.00550199980828,XP-001d
p-Akt_308_ch2,101.73534275,16.541443958132106,8.270721979066053,16.259289555627024,XP-001d
p-S6_240_ch1,1023.22816025,108.01675534540931,54.008377672704654,10.55646819952826,XP-001d
p-S6_240_ch2,277.89550775,29.80959446186339,14.904797230931695,10.726907643530769,XP-001d
p-Rb_807_ch1,328.33512525000003,65.04910709425639,32.52455354712819,19.81180266495303,XP-001d
p-Rb_807_ch2,42.683062750000005,122.01127492671115,61.005637463355576,285.85407668926274,XP-001d
p-mTOR_ch1,161.18685275,9.32577335646531,4.662886678232655,5.7856910767589325,XP-001d
p-mTOR_ch2,59.82610775,20.415905922669502,10.207952961334751,34.12541228318418,XP-001d
p-MAPK_ch1,274.9003085,38.40107886561739,19.200539432808696,13.96909267768879,XP-001d
p-MAPK_ch2,135.43359258333334,28.05566617174565,16.19794641655163,20.715441152078114,XP-001d
p-Akt_473_ch1,215.17084425000002,36.09841878423902,18.04920939211951,16.7766311044899,XP-001d
p-Akt_473_ch2,93.193853,16.326367019169414,8.163183509584707,17.518716625193523,XP-001d
p-p53_ch1,187.24653424999997,7.052609160391148,3.526304580195574,3.766483149415701,XP-001d
p-p53_ch2,93.71387675,15.130795963055787,7.5653979815278936,16.145736883151393,XP-001d
p-Src_ch1,559.5927342499999,33.69064460354683,16.845322301773415,6.020565054101546,XP-001d
p-Src_ch2,159.31636675,38.22282901463589,19.111414507317946,23.991777991407083,XP-001d
hydroxy-HIF_ch1,322.03082925,48.425734080203,24.2128670401015,15.037608105095114,XP-001d
thermal,0.043987250000000255,0.6369772616268704,0.3184886308134352,1448.0952131057675,XP-001e
p-c-Abl_ch1,333.03265125,45.33924198190964,22.66962099095482,13.614053100119152,XP-001e
p-c-Abl_ch2,174.00664625,38.24934188582455,19.124670942912275,21.981540768776554,XP-001e
hydroxy-HIF_ch2,149.6727655,16.21725744590862,8.10862872295431,10.835142513558099,XP-001e
p-PDK1_ch1,765.00562675,140.88868624126908,70.44434312063454,18.41668627194435,XP-001e
p-PDK1_ch2,451.0899475,82.55744596051413,41.278722980257065,18.301770282857863,XP-001e
p-GSK3b_ch1,1436.74389675,325.34656553667384,162.67328276833692,22.644715336715688,XP-001e
p-GSK3b_ch2,1282.5920342499999,60.38585803357143,30.192929016785715,4.708111107900516,XP-001e
p-p70S6K_ch1,949.78607675,165.46874952757787,82.73437476378894,17.42168616471855,XP-001e
p-p70S6K_ch2,264.8443705,33.26432455052294,16.63216227526147,12.559951524634327,XP-001e
p-S6_235_ch1,666.5910387499999,182.18297820049625,91.09148910024813,27.330547158588885,XP-001e
p-S6_235_ch2,209.62208625,18.60895777256997,9.304478886284985,8.877384108455304,XP-001e
p-Rb_780_ch1,421.06023875,180.25022600345284,90.12511300172642,42.80865525050787,XP-001e
p-Rb_780_ch2,163.29757124999998,28.912600160373415,14.456300080186708,17.705468574367067,XP-001e
p-Akt_308_ch1,202.27190375,28.540267372523573,14.270133686261786,14.109852551641676,XP-001e
p-Akt_308_ch2,98.33247375,23.978740845808954,11.989370422904477,24.38537334753968,XP-001e
p-S6_240_ch1,1033.19981375,210.8095735754981,105.40478678774905,20.403562870415595,XP-001e
p-S6_240_ch2,322.31875625000004,44.190610942022076,22.095305471011038,13.710220111344226,XP-001e
p-Rb_807_ch1,438.49842875,126.28859207290222,63.14429603645111,28.800238220443614,XP-001e
p-Rb_807_ch2,138.14280075,14.702011032879524,7.351005516439762,10.642618329047831,XP-001e
p-mTOR_ch1,322.88191125000003,116.6898627699657,58.34493138498285,36.14010531535024,XP-001e
p-mTOR_ch2,95.42017375,8.563881842404564,4.281940921202282,8.974917468544815,XP-001e
p-MAPK_ch1,401.0805075,80.99643021398609,40.498215106993044,20.19455662875516,XP-001e
p-MAPK_ch2,134.234548,27.821371570310315,13.910685785155158,20.725939770967393,XP-001e
p-Akt_473_ch1,273.24314375000006,33.376631183606094,16.688315591803047,12.214993110364581,XP-001e
p-Akt_473_ch2,104.7490995,5.802646892561268,2.901323446280634,5.539567328272133,XP-001e
p-p53_ch1,247.16230875000002,54.43539020460159,27.217695102300794,22.024146998748886,XP-001e
p-p53_ch2,132.1539205,17.046598770666375,8.523299385333187,12.899048856190667,XP-001e
p-Src_ch1,682.23242175,65.19620171998777,32.598100859993885,9.556303635167684,XP-001e
p-Src_ch2,153.76809925,35.217833352701085,17.608916676350542,22.903211735382808,XP-001e
hydroxy-HIF_ch1,353.13881425,158.99427335759387,79.49713667879693,45.02316566228145,XP-001e
thermal,-0.11296374999999959,0.1734669034294931,0.08673345171474656,-153.55979544720654,XP-001f
p-c-Abl_ch1,189.40219,11.192964670199453,5.596482335099727,5.909627903563023,XP-001f
p-c-Abl_ch2,170.6717625,13.130826217483751,6.5654131087418754,7.6936137678215815,XP-001f
hydroxy-HIF_ch2,177.1833805,12.199096869256213,6.099548434628106,6.8850119208873615,XP-001f
p-PDK1_ch1,357.5029875,51.53373844547408,25.76686922273704,14.414911272727219,XP-001f
p-PDK1_ch2,319.2383575,51.66332287552361,25.831661437761806,16.18330681817382,XP-001f
p-GSK3b_ch1,397.31975750000004,73.69914576675909,36.849572883379544,18.549076499614817,XP-001f
